case_id,run_id,date,runtime,model_label,command_name,command_args_redacted,json_mode,status,elapsed_ms,stdout_bytes,stderr_bytes,output_chars,preview_chars,result_count,truncated,approximate_input_tokens,approximate_output_tokens,actual_input_tokens,actual_cache_creation_tokens,actual_cache_read_tokens,actual_output_tokens,actual_reasoning_tokens,total_tokens,estimated_cost_usd,baseline_command,reduction_ratio_vs_baseline,notes_file,notes
triage_overview,triage_overview-2026-07-21-7585f847,2026-07-21,Claude Code,claude-sonnet-5,qa_manage.py triage,qa_manage.py triage --json,yes,ok,1800,17768,0,17446,200,14,no,,4361,,,,,,,,,,tmp/telemetry/triage_overview-2026-07-21-7585f847.md,
completed_run_review,completed_run_review-2026-07-22-1b0a6e8b,2026-07-22,Claude Code,claude-sonnet-5,qa_manage.py review,qa_manage.py review {target} --json,yes,ok,6376,5155,0,5155,200,,no,,1288,,,,,,,,,,tmp/telemetry/completed_run_review-2026-07-22-1b0a6e8b.md,
search_current,search_current-2026-07-22-a2f7abd3,2026-07-22,Claude Code,claude-sonnet-5,search_workspace.py search,search_workspace.py search {target} --json,yes,ok,603,51547,0,35716,200,16,no,,8929,,,,,,,,,,tmp/telemetry/search_current-2026-07-22-a2f7abd3.md,
